video_path,action,hip_knee_angle,shoulder_hip_angle,shoulder_angle,elbow_angle,avg_hip_angle,avg_shoulder_angle,avg_knee_angle,score
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094505.mp4,Squat,117.6970251,91.12769299,72.78354443,139.4901754,117.6970251,91.12769299,72.78354443,1
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094600.mp4,Squat,113.8469021,84.45333376,68.32212075,121.4973615,113.8469021,84.45333376,68.32212075,1
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094626.mp4,Squat,118.1339668,87.33940369,71.72121615,123.0834618,118.1339668,87.33940369,71.72121615,1
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094649.mp4,Squat,116.4505049,89.60153217,69.83578055,125.03047,116.4505049,89.60153217,69.83578055,1
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094705.mp4,Squat,125.6293652,83.85728714,70.54427395,116.6783283,125.6293652,83.85728714,70.54427395,1
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094722.mp4,Squat,119.2981177,87.71715742,68.96541981,122.3146941,119.2981177,87.71715742,68.96541981,1
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094739.mp4,Squat,126.6895526,90.57033394,70.81563425,132.4802058,126.6895526,90.57033394,70.81563425,1
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094754.mp4,Squat,124.4001056,92.06907691,67.65321074,118.0747083,124.4001056,92.06907691,67.65321074,1
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094811.mp4,Squat,120.7598275,85.39524566,68.99021885,125.2863457,120.7598275,85.39524566,68.99021885,1
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094826.mp4,Squat,124.1005169,89.73640744,83.94771792,116.9694347,124.1005169,89.73640744,83.94771792,1
E:\course_work\Dissertation\pose_estim\back_001_m01_20230224094843.mp4,Squat,116.4325739,82.4576291,67.36747418,124.2789744,116.4325739,82.4576291,67.36747418,1
E:\course_work\Dissertation\pose_estim\back_001_m02_20230224094942.mp4,Jump,114.9278667,94.33772486,79.91562163,140.4838153,114.4509876,93.94628202,79.58402154,2
E:\course_work\Dissertation\pose_estim\back_001_m02_20230224095019.mp4,Jump,113.5228042,91.47866036,70.81750123,144.805939,113.5228042,91.47866036,70.81750123,2
E:\course_work\Dissertation\pose_estim\back_001_m02_20230224095040.mp4,Jump,112.0511697,94.47039087,74.90174015,144.6046711,111.6346226,94.11919982,74.62329501,3
E:\course_work\Dissertation\pose_estim\back_001_m02_20230224095059.mp4,Jump,112.3069385,94.1450462,71.81615119,137.3454889,111.8121943,93.73031032,71.49978048,3
E:\course_work\Dissertation\pose_estim\back_001_m02_20230224095121.mp4,Jump,112.0714832,91.38801775,69.49839608,140.5231805,111.1713107,90.65397745,68.94017603,2
E:\course_work\Dissertation\pose_estim\back_001_m02_20230224095141.mp4,Jump,118.1094758,93.36372526,70.91485299,142.2375801,116.8918523,92.40121263,70.18377203,3
E:\course_work\Dissertation\pose_estim\back_001_m02_20230224095200.mp4,Jump,118.26336,93.36219578,74.54573521,142.6609238,117.6947862,92.91333907,74.18734225,2
E:\course_work\Dissertation\pose_estim\back_001_m02_20230224095218.mp4,Jump,111.3024458,89.06333634,69.9068122,148.4344687,110.7871567,88.65100608,69.58316955,2
E:\course_work\Dissertation\pose_estim\back_001_m02_20230224095236.mp4,Jump,115.1508426,94.77262697,75.10270204,141.845399,114.0895445,93.89914653,74.41051124,2
E:\course_work\Dissertation\pose_estim\back_001_m02_20230224095254.mp4,Squat,115.4874996,93.05009282,69.33421123,144.0845489,104.643603,84.31299491,62.82395666,2
E:\course_work\Dissertation\pose_estim\back_002_m01_20230224095513.mp4,Squat,119.5912564,89.37402762,73.1020327,132.2818855,119.5912564,89.37402762,73.1020327,1
E:\course_work\Dissertation\pose_estim\back_002_m01_20230224095531.mp4,None,121.8199243,85.51792739,69.35125478,110.012612,121.1075271,85.01782255,68.94569189,1
E:\course_work\Dissertation\pose_estim\back_002_m01_20230224095549.mp4,Squat,124.1967196,89.78426909,76.55618351,119.7114312,124.1967196,89.78426909,76.55618351,1
E:\course_work\Dissertation\pose_estim\back_002_m01_20230224095606.mp4,Squat,131.3142665,92.02732562,78.67299462,111.7936787,130.537259,91.48278523,78.20747394,1
E:\course_work\Dissertation\pose_estim\back_002_m01_20230224095622.mp4,None,126.6201036,81.21729092,66.91983368,120.2803251,125.8136062,80.69998333,66.49359271,1
E:\course_work\Dissertation\pose_estim\back_002_m01_20230224095638.mp4,Squat,127.3787702,85.28847678,71.80473745,128.0482509,126.6114282,84.77469078,71.37217879,1
E:\course_work\Dissertation\pose_estim\back_002_m01_20230224095654.mp4,Squat,116.661675,82.11088617,66.42203333,128.114519,116.661675,82.11088617,66.42203333,1
E:\course_work\Dissertation\pose_estim\back_002_m01_20230224095710.mp4,Squat,126.7362596,91.78433001,72.93997074,119.8787449,125.8969466,91.17648676,72.45692458,1
E:\course_work\Dissertation\pose_estim\back_002_m01_20230224095725.mp4,None,139.6897396,100.9714598,79.9867985,133.0357793,138.900532,100.4009996,79.53489568,1
E:\course_work\Dissertation\pose_estim\back_002_m01_20230224095742.mp4,Squat,142.5462825,103.8406949,78.33640027,127.8344589,141.7126785,103.2334393,77.87829267,1
E:\course_work\Dissertation\pose_estim\back_002_m02_20230224095811.mp4,Jump,105.9322332,90.36630161,76.30659707,165.113195,105.3833615,89.89808243,75.9112261,2
E:\course_work\Dissertation\pose_estim\back_002_m02_20230224095903.mp4,Jump,104.7967037,82.04222868,66.9182999,161.0928655,104.1729138,81.55388208,66.51997668,2
E:\course_work\Dissertation\pose_estim\back_002_m02_20230224095920.mp4,Jump,105.1230399,79.56168938,64.64669026,165.6587466,104.4820458,79.07655713,64.25250312,2
E:\course_work\Dissertation\pose_estim\back_002_m02_20230224095936.mp4,Jump,109.1394103,79.00012872,67.45467493,164.9620489,108.4657102,78.5124736,67.03828805,2
E:\course_work\Dissertation\pose_estim\back_002_m02_20230224095952.mp4,Jump,114.230128,86.94020166,70.44952923,164.3474087,110.3359191,83.97633115,68.04784074,3
E:\course_work\Dissertation\pose_estim\back_002_m02_20230224100008.mp4,Jump,104.1234124,73.25785385,60.10933245,163.1540474,103.5036302,72.82179519,59.75153881,2
E:\course_work\Dissertation\pose_estim\back_002_m02_20230224100024.mp4,Jump,116.7940199,67.5495881,53.75872538,159.2951199,114.547981,66.25055756,52.72490374,2
E:\course_work\Dissertation\pose_estim\back_002_m02_20230224100039.mp4,None,nan,nan,nan,nan,0,0,0,2
E:\course_work\Dissertation\pose_estim\back_003_m01_20230224100700.mp4,None,nan,nan,nan,nan,0,0,0,1
E:\course_work\Dissertation\pose_estim\back_003_m01_20230224101043.mp4,Squat,119.5294116,98.21370363,79.58569261,156.2438963,119.5294116,98.21370363,79.58569261,1
E:\course_work\Dissertation\pose_estim\back_003_m01_20230224101126.mp4,Squat,136.012256,98.67261291,85.36234226,146.5383529,136.012256,98.67261291,85.36234226,1
E:\course_work\Dissertation\pose_estim\back_003_m01_20230224101148.mp4,Jump,126.2957338,95.12026743,85.32448173,144.8158524,126.2957338,95.12026743,85.32448173,1
E:\course_work\Dissertation\pose_estim\back_003_m01_20230224101205.mp4,None,118.1734013,94.54344457,84.16565345,150.0339522,117.5611039,94.05358216,83.72956198,1
E:\course_work\Dissertation\pose_estim\back_003_m01_20230224101235.mp4,Squat,130.809107,96.05682057,80.54839934,133.5176,130.1583154,95.57892594,80.14766103,1
E:\course_work\Dissertation\pose_estim\back_003_m01_20230224101254.mp4,Squat,130.5235223,99.46782149,89.99916356,142.8466165,130.5235223,99.46782149,89.99916356,1
E:\course_work\Dissertation\pose_estim\back_003_m01_20230224101316.mp4,None,132.8209106,97.29716712,84.05935947,138.5692232,132.057572,96.737988,83.5762597,1
E:\course_work\Dissertation\pose_estim\back_003_m01_20230224101333.mp4,None,122.0191944,95.49102088,84.47725903,142.9895687,121.3097805,94.93584052,83.98611218,1
E:\course_work\Dissertation\pose_estim\back_003_m01_20230224101349.mp4,None,141.2334733,88.68916235,76.63962816,139.7832993,140.3775128,88.15165227,76.17514556,1
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101521.mp4,Jump,110.3540689,92.45033552,84.79956555,162.5802287,109.9246757,92.09060659,84.46960615,2
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101610.mp4,Jump,115.8519663,96.89008338,77.50944053,153.7153088,113.8371495,95.20503845,76.16145026,2
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101629.mp4,Jump,116.526075,96.2725756,81.15771716,153.7276915,116.0127443,95.84846733,80.80019417,3
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101648.mp4,Jump,116.7863169,92.98478504,76.15834749,155.1330394,116.3096381,92.6052553,75.84749709,3
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101708.mp4,Jump,113.609924,97.89955089,76.16221415,148.8138417,113.104991,97.46444177,75.82371542,2
E:\course_work\Dissertation\pose_estim\back_003_m02_20230224101727.mp4,Jump,109.9262326,90.68449161,70.26362484,158.2017412,108.4861509,89.49648517,69.34314067,2
